cseq,mapX,mapY,useyn
1997,126.8754394,36.0658097,y
1998,128.9389714,35.3977583,y
1999,129.0097777,35.5307228,y
2000,128.1392439,37.6489313,y
2001,128.1687676,37.248555,y
2002,128.2027943,37.2640568,y
2003,128.2217049,37.3004067,y
2004,126.9296182,36.877357,y
2005,126.8629648,35.3504375,y
2006,128.1097107,36.9139799,y
2007,128.1503074,36.8831031,y
2008,128.0925548,36.8445408,y
2009,128.087888,36.8674239,y
2010,126.5616367,37.2002879,y
2011,128.0788234,36.8851999,y
2012,128.1620891,36.8580133,y
2013,128.150368,36.8732279,y
2014,128.1548361,36.86914,y
2015,128.1547107,36.8686368,y
2016,128.3020472,35.291564,y
2017,127.9050428,34.7671729,y
2018,127.012013,36.8329734,y
2019,128.2505391,37.4908373,y
2020,129.3263126,36.5498161,y
2021,127.3877894,38.0291698,y
2022,127.3257623,37.8180165,y
2023,127.1502573,37.9731741,y
2024,126.8328031,34.7691476,y
2025,127.2919424,36.1964729,y
2026,126.8290065,37.8916298,y
2027,127.3814475,37.1021777,y
2028,127.5129381,37.5925212,y
2029,126.8006489,37.2226794,y
2030,126.8446011,37.9565003,y
2031,127.5919389,37.8161589,y
2032,128.8011458,35.991146,y
2033,126.6755923,36.4271667,y
2034,128.4629712,37.8148664,y
2035,127.3900304,38.0884166,y
2036,127.1999044,36.4228918,y
2037,127.3239698,37.8155511,y
2038,127.4600518,37.695407,y
2039,127.4417691,37.2519359,y
2040,126.15953574014029,36.84220500758383,y
2041,127.5491891,37.3865253,y
2042,127.5473431,37.3929435,y
2043,127.5850191,36.0926338,y
2044,128.4349274,37.9739973,y
2045,128.1678329,38.0605052,y
2046,128.1787967,38.1164566,y
2047,128.3164129,38.0724524,y
2048,126.953516,37.7083474,y
2049,126.9471166,37.7005282,y
2050,127.2333925,35.9735698,y
2051,128.9210806,36.5666883,y
2052,128.0250224,36.6116423,y
2053,127.5218127,37.8189368,y
2054,128.6461312,37.9403186,y
2055,127.2526322,38.1081491,y
2056,128.8624022,35.551979,y
2057,127.1448632,35.3005114,y
2058,126.6617229,35.0969951,y
2059,127.8508729,36.8420634,y
2060,128.2746199,37.360788,y
2061,128.6690664,37.1124848,y
2062,127.4520459,37.9699307,y
2063,127.5746284,37.8042877,y
2064,127.309421,38.1056379,y
2065,128.009812,37.9543715,y
2066,129.0955023,35.5516534,y
2067,126.8909971,37.9703631,y
2068,127.5551606,36.2461343,y
2069,127.5227239,35.6438009,y
2070,127.021433,36.5576938,y
2071,128.4495543,35.0096808,y
2072,128.7045774,37.8465243,y
2073,128.1566535,34.9109321,y
2074,127.3410051,36.2174431,y
2075,127.8444201,37.3998584,y
2076,129.3121934,37.2845337,y
2077,128.2987845,34.9232109,y
2078,126.9104578,37.6724583,y
2079,127.1560055,35.8169846,y
2080,127.2650143,37.3154594,y
2081,128.2145347,34.952402,y
2082,128.2630525,37.3249581,y
2083,128.6746585,37.3206541,y
2084,128.5856789,37.4112323,y
2085,128.6257603,37.3600097,y
2086,128.6827088,37.3187992,y
2087,128.2050981,37.2926334,y
2088,126.8948546,35.5249589,y
2089,127.7916075,36.471447,y
2090,127.2957113,37.1597968,y
2091,126.2389834,33.3238571,y
2092,126.6575251,33.4540559,y
2093,126.6980007,33.507783,y
2094,126.7482931,33.2873616,y
2095,126.4014075,33.4834486,y
2096,128.23672,37.220959,y
2097,128.1096115,37.1655767,y
2098,128.1404996,37.1590072,y
2099,128.0939726,36.9137274,y
2100,127.7829279,34.9924956,y
2101,128.6396167,37.4512545,y
2102,127.357223,35.1832994,y
2103,127.6499702,36.7139424,y
2104,127.3901528,38.0837438,y
2105,128.6684064,37.0398878,y
2106,128.7344964,37.8800594,y
